Date : 2024-05-18 20:01:40
Directory : /home/bond/Desktop/darkpatterncombined/agents/skyvern
Total : 238 files,  32309 codes, 780 comments, 3758 blanks, all 36847 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/StepNavigation.tsx                               | TypeScript JSX     |         76 |          0 |          8 |         84 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/TaskDetails.tsx                                  | TypeScript JSX     |        197 |          0 |          6 |        203 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/TextArtifact.tsx                                 | TypeScript JSX     |         40 |          0 |          6 |         46 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/detail/artifactUtils.ts                                 | TypeScript         |         28 |          0 |          4 |         32 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/list/TaskList.tsx                                       | TypeScript JSX     |        180 |          0 |          7 |        187 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/list/TaskListSkeleton.tsx                               | TypeScript JSX     |         43 |          0 |          4 |         47 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/running/LatestScreenshot.tsx                            | TypeScript JSX     |         68 |          0 |         17 |         85 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/running/QueuedTasks.tsx                                 | TypeScript JSX     |         74 |          0 |          6 |         80 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/running/RunningTaskSkeleton.tsx                         | TypeScript JSX     |         80 |          1 |          3 |         84 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/running/RunningTasks.tsx                                | TypeScript JSX     |         61 |          0 |          6 |         67 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/routes/tasks/types.ts                                                | TypeScript         |          5 |          0 |          1 |          6 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/store/CredentialGetterContext.ts                                     | TypeScript         |          4 |          0 |          3 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/store/SettingsStore.ts                                               | TypeScript         |         16 |          0 |          4 |         20 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/store/UserContext.ts                                                 | TypeScript         |          4 |          0 |          3 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/util/env.ts                                                          | TypeScript         |         15 |          0 |          8 |         23 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/util/timeFormat.ts                                                   | TypeScript         |         12 |          0 |          2 |         14 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/util/utils.ts                                                        | TypeScript         |          5 |          0 |          2 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/src/vite-env.d.ts                                                        | TypeScript         |          0 |          1 |          1 |          2 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/tailwind.config.js                                                       | JavaScript         |         76 |          1 |          1 |         78 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/tsconfig.json                                                            | JSON with Comments |         26 |          3 |          4 |         33 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/tsconfig.node.json                                                       | JSON               |         11 |          0 |          1 |         12 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern-frontend/vite.config.ts                                                           | TypeScript         |         17 |          1 |          2 |         20 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/__init__.py                                                                       | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/analytics.py                                                                      | Python             |         51 |          4 |         17 |         72 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/config.py                                                                         | Python             |         67 |         17 |         20 |        104 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/constants.py                                                                      | Python             |          4 |          1 |          2 |          7 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/exceptions.py                                                                     | Python             |        144 |          0 |         81 |        225 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/__init__.py                                                                 | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/__main__.py                                                                 | Python             |         15 |          0 |          6 |         21 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/agent.py                                                                    | Python             |      1,071 |         50 |         77 |      1,198 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/api_app.py                                                                  | Python             |         80 |          6 |         24 |        110 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/app.py                                                                      | Python             |         42 |          0 |          6 |         48 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/async_operations.py                                                         | Python             |         99 |          7 |         30 |        136 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/prompts.py                                                                  | Python             |          2 |          1 |          2 |          5 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/prompts/skyvern/extract-action-claude3-sonnet.j2                            | Jinja              |         66 |          0 |         11 |         77 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/prompts/skyvern/extract-action.j2                                           | Jinja              |         67 |          0 |         12 |         79 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/prompts/skyvern/extract-information.j2                                      | Jinja              |         17 |          0 |         10 |         27 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/__init__.py                                                             | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/__init__.py                                                         | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/aws.py                                                              | Python             |        113 |          1 |         25 |        139 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/files.py                                                            | Python             |         50 |          5 |         16 |         71 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/__init__.py                                                     | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/api_handler_factory.py                                          | Python             |        197 |          4 |         24 |        225 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/config_registry.py                                              | Python             |        112 |          2 |         19 |        133 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/exceptions.py                                                   | Python             |         30 |          0 |         19 |         49 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/models.py                                                       | Python             |         50 |          2 |         12 |         64 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/api/llm/utils.py                                                        | Python             |         54 |          2 |         12 |         68 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/__init__.py                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/manager.py                                                     | Python             |         85 |         15 |         16 |        116 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/models.py                                                      | Python             |         62 |          5 |         13 |         80 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/storage/__init__.py                                            | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/storage/base.py                                                | Python             |         39 |          1 |         10 |         50 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/storage/factory.py                                             | Python             |         10 |          0 |          5 |         15 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/artifact/storage/local.py                                               | Python             |         56 |          0 |         14 |         70 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/core/__init__.py                                                        | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/core/security.py                                                        | Python             |         35 |          0 |          9 |         44 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/core/skyvern_context.py                                                 | Python             |         53 |          0 |         21 |         74 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/__init__.py                                                          | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/client.py                                                            | Python             |      1,042 |          2 |         60 |      1,104 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/enums.py                                                             | Python             |         10 |          1 |          5 |         16 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/exceptions.py                                                        | Python             |          2 |          0 |          1 |          3 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/id.py                                                                | Python             |        102 |          4 |         49 |        155 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/models.py                                                            | Python             |        198 |          1 |         49 |        248 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/db/utils.py                                                             | Python             |        258 |          0 |         42 |        300 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/executor/__init__.py                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/executor/async_executor.py                                              | Python             |         85 |          0 |         15 |        100 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/executor/factory.py                                                     | Python             |          9 |          0 |          5 |         14 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/experimentation/__init__.py                                             | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/experimentation/providers.py                                            | Python             |         17 |          1 |          9 |         27 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/forge_log.py                                                            | Python             |         70 |          7 |         14 |         91 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/models.py                                                               | Python             |        101 |          4 |         35 |        140 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/prompting.py                                                            | Python             |         92 |          1 |         27 |        120 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/routes/__init__.py                                                      | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/routes/agent_protocol.py                                                | Python             |        477 |          6 |         52 |        535 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/schemas/__init__.py                                                     | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/schemas/tasks.py                                                        | Python             |        199 |          1 |         31 |        231 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/services/__init__.py                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/services/bitwarden.py                                                   | Python             |         94 |         12 |         25 |        131 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/services/org_auth_service.py                                            | Python             |        100 |          2 |         18 |        120 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/services/org_auth_token_service.py                                      | Python             |         28 |          3 |          9 |         40 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/settings_manager.py                                                     | Python             |         10 |          0 |          5 |         15 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/__init__.py                                                    | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/context_manager.py                                             | Python             |        273 |         19 |         44 |        336 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/exceptions.py                                                  | Python             |         31 |          0 |         13 |         44 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/models/__init__.py                                             | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/models/block.py                                                | Python             |        765 |         50 |        118 |        933 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/models/parameter.py                                            | Python             |         83 |          6 |         31 |        120 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/models/workflow.py                                             | Python             |         74 |          0 |         25 |         99 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/models/yaml.py                                                 | Python             |         99 |         46 |         46 |        191 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/forge/sdk/workflow/service.py                                                     | Python             |        764 |         23 |         67 |        854 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/scheduler.py                                                                      | Python             |          2 |          0 |          2 |          4 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/README.md                                                                  | Markdown           |         34 |          0 |         17 |         51 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/__init__.py                                                                | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/actions/__init__.py                                                        | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/actions/actions.py                                                         | Python             |        175 |         14 |         55 |        244 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/actions/handler.py                                                         | Python             |        661 |         42 |        108 |        811 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/actions/models.py                                                          | Python             |         50 |          2 |         17 |         69 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/actions/responses.py                                                       | Python             |         71 |          3 |         13 |         87 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/browser_factory.py                                                         | Python             |        225 |          1 |         36 |        262 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/browser_manager.py                                                         | Python             |        142 |          6 |         26 |        174 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/scraper/__init__.py                                                        | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/scraper/domUtils.js                                                        | JavaScript         |        983 |        109 |        111 |      1,203 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/scraper/scraper.py                                                         | Python             |        345 |         35 |         68 |        448 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/skyvern/webeye/string_util.py                                                             | Python             |          3 |          0 |          3 |          6 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/__init__.py                                                      | Python             |          0 |          0 |          1 |          1 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/api.py                                                           | Python             |         79 |          0 |         20 |         99 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/artifact_loader.py                                               | Python             |         54 |          3 |         13 |         70 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/repository.py                                                    | Python             |         22 |          0 |          9 |         31 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/sample_data.py                                                   | Python             |        217 |          0 |         12 |        229 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/streamlit.py                                                     | Python             |        393 |         19 |         52 |        464 |
| /home/bond/Desktop/darkpatterncombined/agents/skyvern/streamlit_app/visualizer/styles.py                                                        | Python             |         33 |          0 |          6 |         39 |
| Total                                                                                                                                           |                    |     32,309 |        780 |      3,758 |     36,847 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
